,Subject,True 1st (%),True 2nd (%),False 1st (%),False 2nd (%)
0,AI09,56,44,44,56
1,AJ31,67,33,31,69
2,AM45,86,14,14,86
3,AS20,86,14,14,86
4,BB30,50,50,48,52
5,BG97,52,48,53,47
6,BH27,58,42,48,52
7,BO03,83,17,17,83
8,CR06,77,23,23,77
9,DK47,70,30,30,70
10,FY25,69,31,33,67
11,GE44,75,25,25,75
12,GN10,70,30,33,67
13,HB81,75,25,27,73
14,HM02,73,27,30,70
15,HR58,89,11,11,89
16,KL89,61,39,38,62
17,KM28,62,38,38,62
18,KR13,80,20,25,75
19,MA40,66,34,36,64
20,MN01,66,34,33,67
21,MN37,61,39,36,64
22,NN81,86,14,12,88
23,NY90,78,22,23,77
24,PM15,89,11,9,91
25,PS08,55,45,45,55
26,RN85,91,9,9,91
27,RS30,64,36,38,62
28,RY20,58,42,45,55
29,SM28,52,48,52,48
30,TA01,61,39,39,61
31,WE10,80,20,25,75
32,ZN05,75,25,25,75
33,ZW57,77,23,23,77
