,Subject,Accuracy,Confidence Interval
0,AI09,0.5625,"(0.47655880689753605, 0.648441193102464)"
1,AJ31,0.6796875,"(0.5988537602910036, 0.7605212397089964)"
2,AM45,0.859375,"(0.7991504294214796, 0.9195995705785204)"
3,AS20,0.859375,"(0.7991504294214796, 0.9195995705785204)"
4,BB30,0.5078125,"(0.42120249375145474, 0.5944225062485452)"
5,BG97,0.4921875,"(0.40557749375145474, 0.5787975062485452)"
6,BH27,0.546875,"(0.46063591625353567, 0.6331140837464644)"
7,BO03,0.828125,"(0.7627660013383414, 0.8934839986616586)"
8,CR06,0.765625,"(0.6922387354592687, 0.8390112645407313)"
9,DK47,0.703125,"(0.6239744075563569, 0.7822755924436431)"
10,FY25,0.6796875,"(0.5988537602910036, 0.7605212397089964)"
11,GE44,0.75,"(0.6749843766272652, 0.8250156233727348)"
12,GN10,0.6875,"(0.6072005725619728, 0.7677994274380272)"
13,HB81,0.7421875,"(0.6664065771994822, 0.8179684228005178)"
14,HM02,0.71875,"(0.6408591791000458, 0.7966408208999542)"
15,HR58,0.890625,"(0.8365548517422303, 0.9446951482577697)"
16,KL89,0.6171875,"(0.5329796260573838, 0.7013953739426162)"
17,KM28,0.625,"(0.5411299833820215, 0.7088700166179785)"
18,KR13,0.7734375,"(0.7009175137411594, 0.8459574862588406)"
19,MA40,0.6484375,"(0.5657220912984169, 0.7311529087015831)"
20,MN01,0.6640625,"(0.5822377273054568, 0.7458872726945432)"
21,MN37,0.625,"(0.5411299833820215, 0.7088700166179785)"
22,NN81,0.8671875,"(0.8083943042877363, 0.9259806957122637)"
23,NY90,0.7734375,"(0.7009175137411594, 0.8459574862588406)"
24,PM15,0.8984375,"(0.8461061771398342, 0.9507688228601658)"
25,PS08,0.546875,"(0.46063591625353567, 0.6331140837464644)"
26,RN85,0.90625,"(0.8557535631284865, 0.9567464368715135)"
27,RS30,0.6328125,"(0.5493036399562266, 0.7163213600437734)"
28,RY20,0.5625,"(0.47655880689753605, 0.648441193102464)"
29,SM28,0.5,"(0.41337941930464794, 0.5866205806953521)"
30,TA01,0.609375,"(0.5248522885839718, 0.6938977114160282)"
31,WE10,0.7734375,"(0.7009175137411594, 0.8459574862588406)"
32,ZN05,0.75,"(0.6749843766272652, 0.8250156233727348)"
33,ZW57,0.765625,"(0.6922387354592687, 0.8390112645407313)"
